"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Elemental Gem, Emerald","DMG","uncommon","wondrous item","","","",""
"Elemental Gem, Red Corundum","DMG","uncommon","wondrous item","","","",""
"Elemental Gem, Yellow Diamond","DMG","uncommon","wondrous item","","","",""
"Elixir of Health","DMG","rare","potion","","","",""
"Elven Chain","DMG","rare","medium armor","","AC 13 + Dex (max 2)","20 lb.",""
"Emerald Pen","FTD","uncommon","wondrous item","","","",""
"Enduring Spellbook","XGE","common","wondrous item","","","",""
"Ephixis, Bow of Nylea","MOT","artifact","weapon (shortbow), range, simple weapon","requires attunement","1d6, piercing, - ammunition (80/320 ft.), two-handed","2 lb.",""
"Ersatz Eye","XGE","common","wondrous item","requires attunement","","",""
"Everbright Lantern","ERLW","common","wondrous item","","","",""
"Eversmoking Bottle","DMG","uncommon","wondrous item","","","1 lb.",""
"Eye of Vecna","DMG","artifact","wondrous item","requires attunement","","",""
"Eyes of Charming","DMG","uncommon","wondrous item","requires attunement","","",""
"Eyes of Minute Seeing","DMG","uncommon","wondrous item","","","",""
"Eyes of the Eagle","DMG","uncommon","wondrous item","requires attunement","","",""
"Failed Experiment Wand","AI","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Falkir's Helm of Pigheadedness","WDMM","unknown (magic)","other","","","",""
"Fane-Eater","BGDIA","legendary","weapon (battleaxe), martial weapon, melee weapon","requires attunement by an evil cleric or paladin","1d8, slashing, - versatile (1d10)","4 lb.",""
"Far Gear","AI","very rare","wondrous item","requires attunement","","",""
"Far Realm Shard","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Feather Token","ERLW","common","wondrous item","","","",""
"Feather of Diatryma Summoning","WDH","rare","wondrous item","requires attunement","","",""
"Feywild Shard","TCE","uncommon","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Figurine of Wondrous Power","DMG","varies","wondrous item","","","",""
"Figurine of Wondrous Power, Bronze Griffon","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Ebony Fly","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Golden Lions","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Ivory Goats","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Marble Elephant","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Obsidian Steed","DMG","very rare","wondrous item","","","",""
"Figurine of Wondrous Power, Onyx Dog","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Serpentine Owl","DMG","rare","wondrous item","","","",""
"Figurine of Wondrous Power, Silver Raven","DMG","uncommon","wondrous item","","","",""
"Finder's Goggles","ERLW","uncommon","wondrous item","requires attunement by a creature with the Mark of Finding","","",""
"Fire Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Flail of Tiamat","FTD","legendary","weapon (flail), martial weapon, melee weapon","requires attunement","1d8, bludgeoning","2 lb.",""
"Flame Tongue","DMG","rare","generic variant","requires attunement","","",""
"Flame Tongue Shortsword of Greed","TftYP","unknown (magic)","weapon (shortsword), martial weapon, melee weapon","requires attunement","1d6, piercing, - finesse, light","2 lb.",""
"Flying Chariot","MOT","rare","wondrous item","","","",""
"Folding Boat","DMG","rare","wondrous item","","","4 lb.",""
"Force Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Frost Brand","DMG","very rare","generic variant","requires attunement","","",""
"Fulminating Treatise","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Galder's Bubble Pipe","LLK","rare","wondrous item","requires attunement","","",""
"Gambler's Blade","LLK","rare","generic variant","requires attunement","","",""
"Gauntlets of Flaming Fury","BGDIA","rare","wondrous item","requires attunement","","",""
"Gauntlets of Ogre Power","DMG","uncommon","wondrous item","requires attunement","","",""
"Gavel of the Venn Rune","SKT","rare","wondrous item","requires attunement","","",""
"Gem of Brightness","DMG","uncommon","wondrous item","","","1 lb.",""
"Gem of Seeing","DMG","rare","wondrous item","requires attunement","","1 lb.",""
"Ghost Lantern","ToA","rare","wondrous item","requires attunement","","1 lb.",""
"Ghost Step Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Giant Slayer","DMG","rare","generic variant","","","",""
"Glamerweave","ERLW","varies","wondrous item","","","",""
"Glamoured Studded Leather","DMG","rare","light armor","","AC 12 + Dex","13 lb.",""
"Gloves of Missile Snaring","DMG","uncommon","wondrous item","requires attunement","","",""
"Gloves of Soul Catching","CM","legendary","wondrous item","requires attunement","","",""
"Gloves of Swimming and Climbing","DMG","uncommon","wondrous item","requires attunement","","",""
"Gloves of Thievery","DMG","uncommon","wondrous item","","","",""
"Gnomengarde Grenade","DC","varies","wondrous item","","","",""
"Goggles of Night","DMG","uncommon","wondrous item","","","",""
"Goggles of Object Reading","EGW","uncommon","wondrous item","requires attunement","","",""
"Gold Canary Figurine of Wondrous Power","FTD","legendary","wondrous item","","","",""
"Gold Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Golgari Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Golgari Keyrune","GGR","very rare","wondrous item","requires attunement by a member of the Golgari guild","","",""
"Gravenhollow Compass Ring","OotA","unknown (magic)","other","","","",""
"Greater Silver Sword","MTF","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement by a creature that has psionic ability","2d6, slashing, - heavy, two-handed","6 lb.",""
"Green Chromatic Rose","WBtW","rare","wondrous item","","","",""
"Green Copper Ewer","CoS","unknown (magic)","other","","","",""
"Green Dragon Mask","RoTOS","legendary","wondrous item","requires attunement","","",""
"Green Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Grimoire Infinitus","EGW","legendary","wondrous item","requires attunement by a wizard","","3 lb.",""
"Grimoire Infinitus (Awakened)","EGW","legendary","wondrous item","requires attunement by a wizard","","3 lb.",""
"Grimoire Infinitus (Dormant)","EGW","legendary","wondrous item","requires attunement by a wizard","","3 lb.",""
"Grimoire Infinitus (Exalted)","EGW","legendary","wondrous item","requires attunement by a wizard","","3 lb.",""
"Grovelthrash","EGW","artifact","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Grovelthrash (Awakened)","EGW","artifact","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Grovelthrash (Dormant)","EGW","artifact","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Grovelthrash (Exalted)","EGW","artifact","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Gruul Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Gruul Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Gruul guild","","",""
"Guardian Emblem","TCE","uncommon","wondrous item","requires attunement by a cleric or paladin","","0.32 oz.",""
"Guild Keyrune","GGR","varies","wondrous item","requires attunement by a member of the relevant guild","","",""
"Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Gulthias Staff","CoS","rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Gurt's Greataxe","SKT","legendary","weapon (greataxe), martial weapon, melee weapon","requires attunement","3d12, slashing, - heavy, two-handed","325 lb.",""
"Hag Eye","MM","unknown (magic)","other","","","",""
"Hammer of Thunderbolts","DMG","legendary","weapon (maul), martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.",""
"Hand of Vecna","DMG","artifact","wondrous item","requires attunement","","",""
"Harkon's Bite","VRGR","uncommon","wondrous item","requires attunement","","",""
"Hat of Disguise","DMG","uncommon","wondrous item","requires attunement","","",""
"Hat of Vermin","XGE","common","wondrous item","","","",""
"Hat of Wizardry","XGE","common","wondrous item","requires attunement by a wizard","","",""
"Hazirawn","HotDQ","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement","2d6, slashing, - heavy, two-handed","6 lb.",""
"Headband of Intellect","DMG","uncommon","wondrous item","requires attunement","","",""
"Heart Weaver's Primer","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Heartstone","MM","very rare","other","","","",""
"Hell Hound Cloak","TftYP","rare","wondrous item","requires attunement","","1 lb.",""
"Hellfire Weapon","BGDIA","uncommon","generic variant","","","",""
"Helm of Brilliance","DMG","very rare","wondrous item","requires attunement","","",""
"Helm of Comprehending Languages","DMG","uncommon","wondrous item","","","",""
"Helm of Devil Command","BGDIA","very rare","wondrous item","requires attunement by a creature that can speak Infernal","","",""
"Helm of Telepathy","DMG","uncommon","wondrous item","requires attunement","","",""
"Helm of Teleportation","DMG","rare","wondrous item","requires attunement","","",""
"Helm of Underwater Action","GoS","uncommon","wondrous item","requires attunement","","",""
"Helm of the Gods","MOT","rare","wondrous item","requires attunement","","",""
"Helm of the Scavenger","WDMM","legendary","wondrous item","requires attunement by a spellcaster","","",""
"Hew","LMoP","unknown (magic)","weapon (battleaxe), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","4 lb.",""
"Heward's Handy Haversack","DMG","rare","wondrous item","","","5 lb.",""
"Heward's Handy Spice Pouch","XGE","common","wondrous item","","","",""
"Heward's Hireling Armor","LLK","very rare","light armor (leather armor)","requires attunement","AC 11 + Dex","10 lb.",""
"Hide of the Feral Guardian","EGW","legendary","light armor (studded leather armor)","requires attunement","AC 12 + Dex","13 lb.",""
"Hide of the Feral Guardian (Awakened)","EGW","legendary","light armor (studded leather armor)","requires attunement","AC 12 + Dex","13 lb.",""
"Hide of the Feral Guardian (Dormant)","EGW","legendary","light armor (studded leather armor)","requires attunement","AC 12 + Dex","13 lb.",""
"Hide of the Feral Guardian (Exalted)","EGW","legendary","light armor (studded leather armor)","requires attunement","AC 12 + Dex","13 lb.",""
"Holy Avenger","DMG","legendary","generic variant","requires attunement by a paladin","","",""
"Holy Symbol of Ravenkind","CoS","legendary","wondrous item","requires attunement by a cleric or paladin of good alignment","","",""
"Hook of Fisher's Delight","IDRotF","rare","wondrous item","","","",""
"Horn of Blasting","DMG","rare","wondrous item","","","2 lb.",""
"Horn of Silent Alarm","XGE","common","wondrous item","","","",""
"Horn of Valhalla","DMG","varies","wondrous item","","","",""
"Horn of Valhalla, Brass","DMG","rare","wondrous item","","","2 lb.",""
"Horn of Valhalla, Bronze","DMG","very rare","wondrous item","","","2 lb.",""
"Horn of Valhalla, Iron","DMG","legendary","wondrous item","","","2 lb.",""
"Horn of Valhalla, Silver","DMG","rare","wondrous item","","","2 lb.",""
"Horn of the Endless Maze","WDMM","rare","wondrous item","","","2 lb.",""
"Horned Ring","WDMM","very rare","ring","requires attunement","","",""
"Horseshoes of Speed","DMG","rare","wondrous item","","","",""
"Horseshoes of a Zephyr","DMG","very rare","wondrous item","","","",""
"Hunter's Coat","EGW","very rare","light armor (leather armor)","requires attunement","AC 11 + Dex","10 lb.",""
"Icon of Ravenloft","CoS","legendary","wondrous item","requires attunement by a creature of good alignment","","10 lb.",""
"Iggwilv's Cauldron","WBtW","artifact","wondrous item","requires attunement by a spellcaster","","80 lb.",""
"Illuminator's Tattoo","TCE","common","wondrous item (tattoo)","requires attunement","","",""
"Illusionist's Bracers","GGR","very rare","wondrous item","requires attunement by a spellcaster","","",""
"Imbued Wood (Fernian Ash)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Irian Rosewood)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Kythrian Manchineel)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Lamannian Oak)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Mabaran Ebony)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Risian Pine)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Shavarran Birch)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood (Xorian Wenge)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Imbued Wood Focus","ERLW","common","wondrous item, spellcasting focus","requires attunement","","",""
"Immovable Rod","DMG","uncommon","rod","","","2 lb.",""
"Infernal Puzzle Box","BGDIA","uncommon","wondrous item","","","",""
"Infernal Tack","MTF","legendary","wondrous item","requires attunement by a creature of evil alignment.","","",""
"Infiltrator's Key","EGW","legendary","wondrous item","requires attunement","","",""
"Infiltrator's Key (Awakened)","EGW","legendary","wondrous item","requires attunement","","",""
"Infiltrator's Key (Dormant)","EGW","legendary","wondrous item","requires attunement","","",""
"Infiltrator's Key (Exalted)","EGW","legendary","wondrous item","requires attunement","","",""
"Ingot of the Skold Rune","SKT","very rare","wondrous item","requires attunement","","",""
"Insignia of Claws","HotDQ","uncommon","wondrous item","","","",""
"Instrument of Illusions","XGE","common","wondrous item, Instrument","requires attunement","","",""
"Instrument of Scribing","XGE","common","wondrous item, Instrument","requires attunement","","",""
"Instrument of the Bards","DMG","varies","wondrous item, Instrument","requires attunement by a bard","","",""
"Instrument of the Bards, Anstruth Harp","DMG","very rare","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Canaith Mandolin","DMG","rare","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Cli Lyre","DMG","rare","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Doss Lute","DMG","uncommon","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Fochlucan Bandore","DMG","uncommon","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Mac-Fuirmidh Cittern","DMG","uncommon","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Instrument of the Bards, Ollamh Harp","DMG","legendary","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Ioun Stone","DMG","varies","wondrous item","requires attunement","","",""
"Ioun Stone","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone of Vitality","IMR","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Absorption","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Agility","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Awareness","DMG","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Fortitude","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Greater Absorption","DMG","legendary","wondrous item","requires attunement","","",""
"Ioun Stone, Historical Knowledge","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Insight","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Intellect","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Language Knowledge","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Leadership","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Mastery","DMG","legendary","wondrous item","requires attunement","","",""
"Ioun Stone, Natural Knowledge","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Protection","DMG","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Regeneration","DMG","legendary","wondrous item","requires attunement","","",""
"Ioun Stone, Religious Knowledge","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Reserve","DMG","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Self-Preservation","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Strength","DMG","very rare","wondrous item","requires attunement","","",""
"Ioun Stone, Supreme Intellect","LLK","rare","wondrous item","requires attunement","","",""
"Ioun Stone, Sustenance","DMG","rare","wondrous item","requires attunement","","",""
"Iron Ball","IDRotF","unknown (magic)","weapon, range, simple weapon","","1d4, bludgeoning, - finesse, thrown (120 ft.)","",""
"Iron Bands of Bilarro","DMG","rare","wondrous item","","","1 lb.",""
"Iron Flask","DMG","legendary","wondrous item","","","1 lb.",""
"Ironfang","PotA","legendary","weapon (war pick), martial weapon, melee weapon","requires attunement","1d8, piercing","2 lb.",""
"Izzet Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Izzet Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Izzet guild","","",""
"Jade Serpent Staff","WDMM","unknown (magic)","other","","","",""
"Jakarion's Staff of Frost","CoS","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a druid, sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Javelin of Backbiting","TftYP","very rare","weapon (javelin), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (60/150 ft.)","2 lb.",""
"Javelin of Lightning","DMG","uncommon","weapon (javelin), simple weapon, melee weapon","","1d6, piercing, - thrown (30/120 ft.)","2 lb.",""
"Jewel of Three Prayers","CRCotN","legendary","wondrous item","requires attunement","","",""
"Jewel of Three Prayers (Awakened)","CRCotN","legendary","wondrous item","requires attunement","","",""
"Jewel of Three Prayers (Dormant)","CRCotN","legendary","wondrous item","requires attunement","","",""
"Jewel of Three Prayers (Exalted)","CRCotN","legendary","wondrous item","requires attunement","","",""
"Junky +1 Dagger","TftYP","unknown (magic)","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Keoghtom's Ointment","DMG","uncommon","wondrous item","","","",""
"Keycharm","ERLW","common","wondrous item","requires attunement by a creature with the Mark of Warding","","",""
"Keystone of Creation","AitFR-AVT","artifact","wondrous item","requires attunement","","",""
"Khrusor, Spear of Heliod","MOT","artifact","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Knave's Eye Patch","WDH","rare","wondrous item","requires attunement","","",""
"Korolnor Scepter","SKT","legendary","weapon (club), simple weapon, melee weapon","requires attunement","1d4, bludgeoning, - light","2 lb.",""
"Kyrzin's Ooze","ERLW","very rare","wondrous item","requires attunement","","",""
"Lantern of Revealing","DMG","uncommon","wondrous item","","","2 lb.",""
"Lantern of Tracking","IDRotF","common","wondrous item","","","",""
"Lash of Shadows","EGW","artifact","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Lash of Shadows (Awakened)","EGW","artifact","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Lash of Shadows (Dormant)","EGW","artifact","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Lash of Shadows (Exalted)","EGW","artifact","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Last Stand Armor","EGW","very rare","generic variant","","","",""
"Leather Golem Armor","LLK","rare","light armor (leather armor)","requires attunement","AC 11 + Dex","10 lb.",""
"Libram of Souls and Flesh","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Lifewell Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Lightbringer","LMoP","uncommon","weapon (mace), simple weapon, melee weapon","","1d6, bludgeoning","4 lb.",""
"Lightning Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Living Armor","ERLW","very rare","generic variant","requires attunement","","",""
"Living Gloves","ERLW","uncommon","wondrous item","requires attunement","","",""
"Living Loot Satchel","AI","varies","wondrous item","","","",""
"Loadstone","TftYP","rare","wondrous item","","","1 lb.",""
"Lock of Trickery","XGE","common","wondrous item","","","",""
"Lord's Ensemble","WDH","very rare","wondrous item","requires attunement by a creature with a humanoid build","","",""
"Lorehold Primer","SCC","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Lost Crown of Besilmer","PotA","legendary","wondrous item","requires attunement","","",""
"Lost Sword","CoS","unknown (magic)","weapon (shortsword), martial weapon, melee weapon","requires attunement","1d6, piercing, - finesse, light","2 lb.",""
"Luba's Tarokka of Souls","TCE","artifact","wondrous item","requires attunement","","",""
"Luck Blade","DMG","legendary","generic variant","requires attunement","","",""
"Luxon Beacon","EGW","legendary","wondrous item","","","",""
"Lyre of Building","TCE","rare","wondrous item, Instrument","requires attunement by a bard","","2 lb.",""
"Mace of Disruption","DMG","rare","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Mace of Smiting","DMG","rare","weapon (mace), simple weapon, melee weapon","","1d6, bludgeoning","4 lb.",""
"Mace of Terror","DMG","rare","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Mace of the Black Crown","EGW","artifact","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Mace of the Black Crown (Awakened)","EGW","artifact","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Mace of the Black Crown (Dormant)","EGW","artifact","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Mace of the Black Crown (Exalted)","EGW","artifact","weapon (mace), simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Macuahuitl","TftYP","unknown (magic)","weapon (longsword), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.",""
"Maddgoth's Helm","WDMM","very rare","other","requires attunement by a humanoid","","",""
"Mantle of Spell Resistance","DMG","rare","wondrous item","requires attunement","","",""
"Manual of Bodily Health","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Clay Golems","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Flesh Golems","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Gainful Exercise","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Golems","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Iron Golems","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Quickness of Action","DMG","very rare","wondrous item","","","5 lb.",""
"Manual of Stone Golems","DMG","very rare","wondrous item","","","5 lb.",""
"Mariner's Armor","DMG","uncommon","generic variant","","","",""
"Mask of the Beast","ToA","uncommon","wondrous item","","","1 lb.",""
"Mask of the Dragon Queen","RoT","artifact","wondrous item","requires attunement","","",""
"Masque Charm","SCC","common","wondrous item","","","",""
"Masquerade Tattoo","TCE","common","wondrous item (tattoo)","requires attunement","","",""
"Master's Amulet","MM","unknown (magic)","other","","","",""
"Mastix, Whip of Erebos","MOT","artifact","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Matalotok","BGDIA","legendary","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Medal of Muscle","CRCotN","common","wondrous item","","","",""
"Medal of Wit","CRCotN","common","wondrous item","","","",""
"Medal of the Conch","CRCotN","common","wondrous item","","","",""
"Medal of the Horizonback","CRCotN","common","wondrous item","","","",""
"Medal of the Maze","CRCotN","common","wondrous item","","","",""
"Medal of the Meat Pie","CRCotN","common","wondrous item","","","",""
"Medal of the Wetlands","CRCotN","common","wondrous item","","","",""
"Medallion of Thoughts","DMG","uncommon","wondrous item","requires attunement","","1 lb.",""
"Mighty Servant of Leuk-o","TCE","artifact","wondrous item","requires attunement","","",""
"Mind Blade","VGM","rare","generic variant","requires attunement by a specific individual","","",""
"Mind Carapace Armor","VGM","uncommon","generic variant","requires attunement by a specific individual","","",""
"Mind Flayer Skull","WDMM","unknown (magic)","other","","","",""
"Mind Lash","VGM","rare","melee weapon","requires attunement by a mind flayer","1d4, slashing, - finesse, reach","3 lb.",""
"Mirror of Life Trapping","DMG","very rare","wondrous item","","","50 lb.",""
"Mirror of the Past","TftYP","rare","wondrous item","","","1 lb.",""
"Mithral +1 Armor","AI","unknown (magic)","generic variant","","","",""
"Mithral Armor","DMG","uncommon","generic variant","","","",""
"Mizzium Apparatus","GGR","uncommon","wondrous item","requires attunement by a sorcerer, warlock, or wizard","","8 lb.",""
"Mizzium Armor","GGR","rare","generic variant","","","",""
"Mizzium Mortar","GGR","rare","wondrous item","","","",""
"Molten Bronze Skin","MOT","rare","generic variant","requires attunement","","",""
"Moodmark Paint","GGR","common","wondrous item","","","",""
"Moon-Touched Sword","XGE","common","generic variant","","","",""
"Moonblade","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by an elf or half-elf of neutral good alignment","1d8, slashing, - versatile (1d10)","3 lb.",""
"Mummy Rot Antidote","IMR","uncommon","potion","","","",""
"Murgaxor's Orb","SCC","legendary","wondrous item","requires attunement","","",""
"Mystery Key","XGE","common","wondrous item","","","",""
"Naizu-ha Dagger","ToB2","unknown (magic)","weapon, simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Nature's Mantle","TCE","uncommon","wondrous item","requires attunement by a druid or ranger","","2 lb.",""
"Navigation Orb","SKT","very rare","wondrous item","requires attunement","","",""
"Necklace of Adaptation","DMG","uncommon","wondrous item","requires attunement","","1 lb.",""
"Necklace of Fireballs","DMG","rare","wondrous item","","","1 lb.",""
"Necklace of Prayer Beads","DMG","rare","wondrous item","requires attunement by a cleric, druid, or paladin","","1 lb.",""
"Necrotic Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Needle of Mending","EGW","rare","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Nepenthe","VRGR","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a paladin","1d8, slashing, - versatile (1d10)","3 lb.",""
"Nether Scroll of Azumar","CM","legendary","scroll","","","",""
"Night Caller","TftYP","uncommon","wondrous item","","","1 lb.",""
"Nightfall Pearl","EGW","legendary","wondrous item","requires attunement","","",""
"Nine Lives Stealer","DMG","very rare","generic variant","requires attunement","","",""
"Nolzur's Marvelous Pigments","DMG","very rare","wondrous item","","","1 lb.",""
"Oathbow","DMG","very rare","weapon (longbow), range, martial weapon","requires attunement","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.",""
"Obsidian Flint Dragon Plate","BGDIA","legendary","heavy armor (plate armor)","","AC 18","65 lb.",""
"Obviator's Lenses","AI","varies","wondrous item","","","",""
"Occultant Abacus","AI","varies","wondrous item","requires attunement","","",""
"Oil of Etherealness","DMG","rare","potion","","","",""
"Oil of Sharpness","DMG","very rare","potion","","","",""
"Oil of Slipperiness","DMG","uncommon","potion","","","",""
"Opal of the Ild Rune","SKT","rare","wondrous item","requires attunement","","",""
"Orb of Direction","XGE","common","wondrous item","","","3 lb.",""
"Orb of Dragonkind","DMG","artifact","wondrous item","requires attunement","","3 lb.",""
"Orb of Gonging","WDMM","common","wondrous item","","","5 lb.",""
"Orb of Shielding","ERLW","common","wondrous item, spellcasting focus","requires attunement","","3 lb.",""
"Orb of Shielding (Fernian Basalt)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Irian Quartz)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Kythrian Skarn)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Lamannian Flint)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Mabaran Obsidian)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Risian Shale)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Shavarran Chert)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Shielding (Xorian Marble)","ERLW","common","wondrous item, generic variant","requires attunement","","",""
"Orb of Time","XGE","common","wondrous item","","","3 lb.",""
"Orb of the Stein Rune","SKT","rare","wondrous item","requires attunement","","3 lb.",""
"Orb of the Veil","EGW","very rare","wondrous item","requires attunement","","3 lb.",""
